PID,DN,DP,TN,RL,name,displayName,prevalence
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 726)","(name, Supership Inc)","(displayName, Supership)","(prevalence, 4.85)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 727)","(name, Sojern, Inc.)","(displayName, Sojern)","(prevalence, 0.265)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 728)","(name, Solvvy)","(displayName, Solvvy)","(prevalence, 0.0377)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 729)","(name, Sonobi, Inc)","(displayName, Sonobi)","(prevalence, 3.33)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 730)","(name, Sooqr)","(displayName, Sooqr)","(prevalence, 0.013)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 731)","(name, Sourcepoint Technologies Inc)","(displayName, Sourcepoint)","(prevalence, 0.429)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 732)","(name, SphereUp, Inc)","(displayName, SphereUp)","(prevalence, 0.0164)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 733)","(name, Spiceworks, Inc)","(displayName, Spiceworks)","(prevalence, 0.013)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 734)","(name, Sportradar AG)","(displayName, Sportradar)","(prevalence, 2.1)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 735)","(name, Spacefoot SAS)","(displayName, Spacefoot)","(prevalence, 0.0274)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 736)","(name, Spot.IM)","(displayName, Spot.IM)","(prevalence, 0.0713)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 737)","(name, SpotX, Inc.)","(displayName, SpotX)","(prevalence, 5.83)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 738)","(name, sprd.net AG)","(displayName, sprd.net)","(prevalence, 0.0055)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 739)","(name, SpringServe, LLC)","(displayName, SpringServe)","(prevalence, 0.18)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 740)","(name, Squarespace, Inc)","(displayName, Squarespace)","(prevalence, 0.173)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 741)","(name, AVM Computersysteme Vertriebs GmbH)","(displayName, AVM Computersysteme Vertriebs)","(prevalence, 0.0014)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 742)","(name, Secret Sauce Partners, Inc.)","(displayName, Secret Sauce Partners)","(prevalence, 0.0069)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 743)","(name, Collective Roll)","(displayName, Collective Roll)","(prevalence, 7.3)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 744)","(name, StatCounter)","(displayName, StatCounter)","(prevalence, 0.827)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 745)","(name, SmugMug, Inc.)","(displayName, SmugMug)","(prevalence, 0.0897)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 746)","(name, ARNOLDO MONDADORI EDITORE SpA)","(displayName, ARNOLDO MONDADORI EDITORE)","(prevalence, 0.0247)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 747)","(name, Steel House, Inc)","(displayName, Steel House)","(prevalence, 0.315)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 748)","(name, Storygize)","(displayName, Storygize)","(prevalence, 0.778)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 749)","(name, J-Stream Inc.)","(displayName, J-Stream)","(prevalence, 0.0123)"
"(PID, com.duckduckgo.mobile.android)","(DN, app.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.duckduckgo.mobile.android/databases/app.db)","(TN, tds_entity)","(RL, 750)","(name, Triton Digital, Inc.)","(displayName, Triton Digital)","(prevalence, 0.0898)"
